Reference,Value,Footprint,Layer,X_mm,Y_mm,Rotation_deg,DNP
C1,100uF_50V_INPUT,CP_Radial_D8.0mm_P3.50mm,F.Cu,18.000,96.000,0.00,no
C10,22pF_Y2_OSC1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,206.000,56.000,90.00,no
C11,22pF_Y2_OSC2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,205.000,69.463,-90.00,no
C12,100nF_U6_VDD,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,184.000,24.000,90.00,no
C13,100nF_U7_VDD,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,184.000,62.000,-90.00,no
C2,100nF_50V_INPUT,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,26.000,88.000,0.00,no
C3,330uF_16V_OUTPUT_LOW_ESR,CP_Radial_D8.0mm_P3.50mm,F.Cu,72.000,96.000,0.00,no
C4,100nF_16V_OUTPUT,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,72.000,84.000,0.00,no
C5,100nF_CAN_A_DECOUPLING,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,86.000,18.000,0.00,no
C6,100nF_CAN_B_DECOUPLING,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,86.000,39.000,0.00,no
C7,100nF_LIN_DECOUPLING,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,86.000,64.000,0.00,no
C8,22pF_Y1_OSC1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,214.000,24.038,90.00,no
C9,22pF_Y1_OSC2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,205.963,18.000,0.00,no
D1,SMBJ24CA_TVS_12V,D_SMA,F.Cu,24.000,80.000,0.00,no
D2,SS34_BUCK_SCHOTTKY,D_SMA,F.Cu,56.000,98.000,0.00,no
F1,POLYFUSE_500mA,Fuse_1206_3216Metric,F.Cu,30.000,72.000,0.00,no
J1,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,OBD2_PigtailPads_Manufacturing,F.Cu,0.000,0.000,0.00,no
J2,AUX_HEADER,PinHeader_1x08_P2.54mm_Vertical,F.Cu,158.000,62.000,0.00,no
L1,33uH_3A_BUCK_INDUCTOR,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,F.Cu,58.000,88.000,0.00,no
MH1,M3,MountingHole_3.2mm_M3,F.Cu,6.000,6.000,0.00,no
MH2,M3,MountingHole_3.2mm_M3,F.Cu,224.000,6.000,0.00,no
MH3,M3,MountingHole_3.2mm_M3,F.Cu,6.000,99.000,0.00,no
MH4,M3,MountingHole_3.2mm_M3,F.Cu,224.000,109.000,0.00,no
