Qty,Designators,Value,Footprint,DNP,Notes
1,C1,100uF_50V_INPUT,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm,NO,PCB-derived; verify exact MPN before assembly
1,C2,100nF_50V_INPUT,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C3,330uF_16V_OUTPUT_LOW_ESR,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm,NO,PCB-derived; verify exact MPN before assembly
1,C4,100nF_16V_OUTPUT,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C5,100nF_CAN_A_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C6,100nF_CAN_B_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C7,100nF_LIN_VSUP_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C8,22pF_Y1_OSC1,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C9,22pF_Y1_OSC2,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C10,22pF_Y2_OSC1,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C11,22pF_Y2_OSC2,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C12,100nF_U6_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,C13,100nF_U7_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,NO,PCB-derived; verify exact MPN before assembly
1,D1,SMBJ24CA_TVS_12V,teensy-41-can-lin:D_SMA,NO,PCB-derived; verify exact MPN before assembly
1,D2,SS34_BUCK_SCHOTTKY,teensy-41-can-lin:D_SMA,NO,PCB-derived; verify exact MPN before assembly
1,D3,LIN_MASTER_PULLUP_DIODE_DNP,teensy-41-can-lin:D_SMA,YES,PCB-derived; verify exact MPN before assembly
1,D4,ESD_CAN_A_H_TVS_VERIFY,teensy-41-can-lin:D_SMA,NO,PCB-derived; verify exact MPN before assembly
1,D5,ESD_CAN_A_L_TVS_VERIFY,teensy-41-can-lin:D_SMA,NO,PCB-derived; verify exact MPN before assembly
