Comment,Designator,Footprint,LCSC Part #
100uF_50V_INPUT,C1,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm,
100nF_50V_INPUT,C2,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
330uF_16V_OUTPUT_LOW_ESR,C3,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm,
100nF_16V_OUTPUT,C4,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF_CAN_A_VDD_LOCAL,C5,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF_CAN_B_VDD_LOCAL,C6,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF_LIN_VSUP_LOCAL,C7,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22pF_Y1_OSC1,C8,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22pF_Y1_OSC2,C9,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22pF_Y2_OSC1,C10,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22pF_Y2_OSC2,C11,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF_U6_VDD_LOCAL,C12,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF_U7_VDD_LOCAL,C13,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
SMBJ24CA_TVS_12V,D1,teensy-41-can-lin:D_SMA,
SS34_BUCK_SCHOTTKY,D2,teensy-41-can-lin:D_SMA,
LIN_MASTER_PULLUP_DIODE_DNP,D3,teensy-41-can-lin:D_SMA,
ESD_CAN_A_H_TVS_VERIFY,D4,teensy-41-can-lin:D_SMA,
ESD_CAN_A_L_TVS_VERIFY,D5,teensy-41-can-lin:D_SMA,
