Designator,Mid X,Mid Y,Layer,Rotation
C1,18.000,96.000,top,0.000
C2,26.000,88.000,top,0.000
C3,72.000,96.000,top,0.000
C4,72.000,84.000,top,0.000
C5,86.000,18.000,top,180.000
C6,92.000,39.000,top,0.000
C7,82.000,64.000,top,0.000
C8,214.000,24.038,top,90.000
C9,205.963,18.000,top,0.000
C10,206.000,56.000,top,90.000
C11,205.000,69.463,top,-90.000
C12,184.000,24.000,top,180.000
C13,181.000,62.000,top,0.000
D1,24.000,80.000,top,0.000
D2,56.000,98.000,top,0.000
D3,200.000,82.000,top,0.000
D4,176.000,92.000,top,0.000
D5,188.000,92.000,top,0.000
D6,200.000,92.000,top,0.000
D7,212.000,92.000,top,0.000
D8,176.000,100.000,top,0.000
F1,30.000,72.000,top,0.000
J1,0.000,0.000,top,0.000
J2,158.000,62.000,top,0.000
JP1,208.000,82.000,top,0.000
L1,58.000,88.000,top,0.000
MH1,6.000,6.000,top,0.000
MH2,224.000,6.000,top,0.000
MH3,6.000,99.000,top,0.000
MH4,224.000,109.000,top,0.000
R1,86.000,58.000,top,0.000
R11,184.000,82.000,top,0.000
R12,184.000,12.000,top,0.000
R13,184.000,42.000,top,0.000
R14,168.000,12.000,top,0.000
R15,168.000,42.000,top,0.000
R16,216.000,82.000,top,0.000
SR1,10.000,60.000,top,0.000
SR2,22.000,66.000,top,0.000
SW1,55.000,13.000,top,0.000
SW2,55.000,52.000,top,0.000
TP1,34.000,60.000,top,0.000
TP2,44.000,60.000,top,0.000
TP3,24.000,60.000,top,0.000
TP4,111.000,18.000,top,0.000
TP5,111.000,24.000,top,0.000
TP6,111.000,39.000,top,0.000
TP7,111.000,45.000,top,0.000
TP8,111.000,64.000,top,0.000
TP9,158.000,88.000,top,0.000
U1,154.240,-88.420,top,-90.000
U2,131.025,34.095,bottom,90.000
U3,131.525,57.095,bottom,180.000
U4,131.525,82.095,bottom,-90.000
U5,42.000,88.000,top,0.000
U6,192.000,24.000,bottom,180.000
U7,192.000,62.000,bottom,180.000
Y1,206.000,24.000,top,90.000
Y2,206.000,62.000,top,90.000
