Reference,Pad,PadName,Net,Value,Footprint
C1,1,1,+12V_PROTECTED,100uF_50V_INPUT,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm
C1,2,2,GND,100uF_50V_INPUT,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm
C2,1,1,+12V_PROTECTED,100nF_50V_INPUT,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C2,2,2,GND,100nF_50V_INPUT,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C3,1,1,+5V_REGULATED,330uF_16V_OUTPUT_LOW_ESR,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm
C3,2,2,GND,330uF_16V_OUTPUT_LOW_ESR,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm
C4,1,1,+5V_REGULATED,100nF_16V_OUTPUT,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C4,2,2,GND,100nF_16V_OUTPUT,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C5,1,1,+5V_REGULATED,100nF_CAN_A_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C5,2,2,GND,100nF_CAN_A_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C6,1,1,+5V_REGULATED,100nF_CAN_B_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C6,2,2,GND,100nF_CAN_B_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C7,1,1,+12V_PROTECTED,100nF_LIN_VSUP_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C7,2,2,GND,100nF_LIN_VSUP_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
C8,1,1,CANFD_A_OSC1,22pF_Y1_OSC1,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
